Id,Predicted
0,6
1,1
2,0
3,4
4,5
5,5
6,4
7,2
8,6
9,6
10,5
11,1
12,2
13,0
14,5
15,6
16,4
17,1
18,0
19,5
20,5
21,1
22,5
23,1
24,2
25,0
26,5
27,3
28,3
29,5
30,0
31,1
32,1
33,3
34,6
35,1
36,3
37,6
38,6
39,4
40,5
41,6
42,4
43,2
44,4
45,0
46,0
47,1
48,0
49,5
50,4
51,0
52,1
53,1
54,1
55,3
56,3
57,5
58,4
59,1
60,4
61,4
62,1
63,3
64,6
65,0
66,5
67,1
68,5
69,0
70,1
71,3
72,4
73,6
74,5
75,5
76,6
77,5
78,4
79,2
80,2
81,5
82,5
83,4
84,3
85,0
86,6
87,0
88,1
89,1
90,3
91,5
92,5
93,4
94,4
95,4
96,5
97,4
98,2
99,4
100,5
101,1
102,1
103,6
104,4
105,1
106,1
107,1
108,4
109,1
110,5
111,1
112,4
113,1
114,5
115,1
116,1
117,1
118,1
119,0
120,5
121,0
122,5
123,4
124,1
125,5
126,3
127,1
128,5
129,1
130,1
131,4
132,4
133,0
134,5
135,0
136,4
137,1
138,1
139,4
140,1
141,0
142,4
143,1
144,1
145,6
146,4
147,0
148,6
149,1
150,5
151,5
152,1
153,4
154,5
155,0
156,1
157,6
158,4
159,4
160,0
161,1
162,2
163,1
164,4
165,4
166,0
167,2
168,6
169,5
170,4
171,5
172,0
173,6
174,0
175,5
176,5
177,1
178,5
179,2
180,5
181,1
182,5
183,1
184,5
185,1
186,6
187,4
188,0
189,5
190,1
191,5
192,1
193,0
194,5
195,5
196,6
197,6
198,1
199,3
200,5
201,0
202,4
203,5
204,1
205,3
206,3
207,6
208,0
209,5
210,5
211,4
212,6
213,4
214,5
215,5
216,2
217,3
218,3
219,1
220,1
221,1
222,6
223,4
224,1
225,1
226,2
227,5
228,3
229,0
230,3
231,5
232,5
233,1
234,6
235,5
236,3
237,3
238,1
239,5
240,1
241,5
242,3
243,5
244,5
245,4
246,6
247,0
248,1
249,3
250,5
251,2
252,3
253,1
254,0
255,3
256,0
257,3
258,1
259,6
260,5
261,5
262,0
263,0
264,5
265,5
266,4
267,4
268,3
269,2
270,5
271,5
272,1
273,4
274,3
275,4
276,6
277,4
278,4
279,3
280,5
281,1
282,1
283,1
284,5
285,1
286,0
287,0
288,2
289,1
290,3
291,3
292,4
293,4
294,2
295,3
296,5
297,3
298,2
299,6
300,0
301,1
302,2
303,5
304,5
305,6
306,6
307,1
308,1
309,5
310,2
311,0
312,1
313,4
314,0
315,0
316,5
317,4
318,2
319,2
320,5
321,1
322,0
323,5
324,1
325,5
326,1
327,0
328,1
329,1
330,6
331,6
332,5
333,1
334,0
335,2
336,3
337,0
338,5
339,0
340,5
341,0
342,1
343,2
344,2
345,5
346,1
347,5
348,1
349,5
350,0
351,0
352,6
353,5
354,3
355,4
356,6
357,3
358,0
359,1
360,6
361,1
362,1
363,0
364,5
365,4
366,4
367,0
368,2
369,3
370,1
371,6
372,0
373,2
374,0
375,0
376,5
377,5
378,6
379,0
380,6
381,5
382,5
383,1
384,2
385,1
386,4
387,6
388,1
389,1
390,1
391,2
392,1
393,1
394,1
395,5
396,6
397,5
398,4
399,4
400,0
401,1
402,3
403,5
404,3
405,3
406,0
407,1
408,6
409,3
410,1
411,5
412,4
413,1
414,1
415,1
416,5
417,5
418,4
419,4
420,3
421,0
422,5
423,2
424,0
425,5
426,1
427,4
428,0
429,0
430,1
431,3
432,1
433,2
434,3
435,1
436,5
437,4
438,6
439,2
440,0
441,5
442,1
443,5
444,3
445,5
446,5
447,5
448,0
449,5
450,3
451,5
452,6
453,4
454,5
455,1
456,6
457,5
458,1
459,0
460,4
461,5
462,1
463,0
464,6
465,4
466,3
467,1
468,1
469,1
470,5
471,4
472,5
473,6
474,4
475,1
476,1
477,0
478,6
479,0
480,0
481,4
482,5
483,4
484,4
485,5
486,5
487,0
488,0
489,0
490,1
491,5
492,5
493,5
494,4
495,6
496,1
497,0
498,1
499,3
500,1
501,1
502,5
503,0
504,5
505,0
506,1
507,1
508,6
509,6
510,6
511,5
512,3
513,0
514,0
515,0
516,2
517,3
518,1
519,0
520,5
521,5
522,5
523,3
524,5
525,6
526,4
527,5
528,3
529,4
530,1
531,3
532,4
533,1
534,2
535,0
536,0
537,4
538,1
539,1
540,0
541,5
542,5
543,1
544,3
545,0
546,4
547,3
548,1
549,5
550,5
551,5
552,5
553,3
554,1
555,0
556,3
557,5
558,5
559,0
560,5
561,2
562,0
563,5
564,0
565,1
566,3
567,5
568,1
569,4
570,0
571,5
572,3
573,4
574,5
575,1
576,2
577,5
578,1
579,6
580,5
581,5
582,5
583,2
584,6
585,6
586,1
587,6
588,0
589,5
590,0
591,5
592,3
593,1
594,5
595,6
596,0
597,1
598,1
599,0
600,5
601,1
602,5
603,0
604,3
605,4
606,6
607,5
608,1
609,1
610,5
611,6
612,2
613,6
614,6
615,3
616,4
617,4
618,1
619,3
620,5
621,2
622,4
623,1
624,4
625,1
626,5
627,5
628,2
629,0
630,0
631,5
632,6
633,3
634,0
635,6
636,0
637,1
638,0
639,0
640,1
641,4
642,1
643,5
644,4
645,1
646,0
647,6
648,1
649,2
650,4
651,1
652,6
653,1
654,5
655,0
656,5
657,5
658,5
659,3
660,5
661,0
662,5
663,4
664,0
665,6
666,3
667,4
668,4
669,0
670,5
671,1
672,4
673,5
674,0
675,0
676,5
677,3
678,1
679,5
680,0
681,1
682,3
683,0
684,1
685,6
686,0
687,2
688,6
689,3
690,5
691,0
692,5
693,0
694,5
695,0
696,4
697,5
698,0
699,5
700,5
701,3
702,4
703,4
704,0
705,5
706,5
707,5
708,3
709,2
710,4
711,4
712,1
713,0
714,4
715,1
716,5
717,6
718,1
719,0
720,6
721,1
722,1
723,3
724,5
725,5
726,0
727,1
728,3
729,5
730,5
731,4
732,5
733,6
734,5
735,5
736,4
737,1
738,5
739,0
740,4
741,1
742,1
743,6
744,5
745,1
746,1
747,0
748,6
749,0
750,3
751,2
752,6
753,5
754,4
755,5
756,0
757,5
758,1
759,5
760,3
761,1
762,6
763,1
764,5
765,0
766,1
767,5
768,3
769,6
770,1
771,5
772,0
773,6
774,4
775,3
776,1
777,4
778,5
779,4
780,3
781,2
782,0
783,3
784,3
785,5
786,3
787,0
788,3
789,0
790,4
791,1
792,0
793,4
794,0
795,0
796,3
797,0
798,1
799,1
800,5
801,5
802,1
803,5
804,3
805,4
806,6
807,5
808,1
809,0
810,1
811,6
812,5
813,3
814,3
815,0
816,1
817,0
818,5
819,3
820,2
821,1
822,4
823,1
824,5
825,5
826,3
827,2
828,1
829,4
830,5
831,1
832,4
833,5
834,5
835,6
836,5
837,3
838,6
839,0
840,5
841,5
842,0
843,6
844,5
845,5
846,1
847,0
848,1
849,0
850,4
851,3
852,0
853,1
854,4
855,5
856,1
857,0
858,2
859,5
860,5
861,0
862,4
863,4
864,4
865,4
866,0
867,1
868,0
869,5
870,6
871,0
872,0
873,3
874,3
875,2
876,0
877,6
878,6
879,5
880,2
881,1
882,4
883,1
884,5
885,1
886,3
887,3
888,1
889,6
890,1
891,3
892,0
893,6
894,3
895,5
896,5
897,3
898,1
899,3
900,5
901,0
902,1
903,0
904,5
905,0
906,5
907,2
908,1
909,0
910,4
911,5
912,2
913,4
914,5
915,0
916,1
917,5
918,1
919,3
920,2
921,1
922,3
923,6
924,6
925,1
926,5
927,1
928,5
929,0
930,4
931,0
932,1
933,3
934,5
935,1
936,1
937,3
938,5
939,3
940,1
941,6
942,0
943,4
944,1
945,6
946,2
947,5
948,4
949,1
950,1
951,4
952,0
953,6
954,3
955,4
956,6
957,3
958,3
959,0
960,1
961,2
962,2
963,1
964,6
965,0
966,6
967,6
968,3
969,3
970,5
971,5
972,1
973,5
974,5
975,1
976,4
977,0
978,0
979,4
980,5
981,0
982,4
983,5
984,4
985,2
986,3
987,1
988,3
989,5
990,1
991,0
992,1
993,1
994,4
995,1
996,3
997,6
998,3
999,3
1000,5
1001,0
1002,1
1003,5
1004,5
1005,3
1006,5
1007,1
1008,5
1009,0
1010,0
1011,1
1012,1
1013,3
1014,5
1015,1
1016,4
1017,0
1018,3
1019,0
1020,5
1021,3
1022,1
1023,0
1024,1
1025,5
1026,0
1027,6
1028,5
1029,5
1030,4
1031,2
1032,2
1033,5
1034,0
1035,1
1036,6
1037,0
1038,0
1039,0
1040,1
1041,0
1042,4
1043,3
1044,1
1045,5
1046,0
1047,5
1048,5
1049,4
1050,0
1051,3
1052,1
1053,1
1054,4
1055,1
1056,6
1057,1
1058,2
1059,0
1060,0
1061,5
1062,1
1063,4
1064,5
1065,1
1066,5
1067,4
1068,0
1069,5
1070,3
1071,1
1072,3
1073,6
1074,1
1075,4
1076,4
1077,5
1078,6
1079,4
1080,1
1081,4
1082,1
1083,5
1084,5
1085,5
1086,6
1087,5
1088,4
1089,1
1090,0
1091,2
1092,5
1093,5
1094,0
1095,1
1096,5
1097,5
1098,1
1099,1
1100,4
1101,3
1102,6
1103,1
1104,3
1105,4
1106,5
1107,3
1108,5
1109,3
1110,2
1111,5
1112,5
1113,2
1114,6
1115,4
1116,3
1117,5
1118,1
1119,3
1120,5
1121,4
1122,0
1123,5
1124,5
1125,5
1126,0
1127,5
1128,4
1129,0
1130,0
1131,4
1132,5
1133,4
1134,0
1135,6
1136,1
1137,2
1138,0
1139,3
1140,3
1141,0
1142,3
1143,5
1144,6
1145,0
1146,5
1147,0
1148,6
1149,0
1150,5
1151,5
1152,4
1153,4
1154,1
1155,4
1156,3
1157,0
1158,3
1159,6
1160,6
1161,1
1162,5
1163,5
1164,1
1165,1
1166,4
1167,2
1168,1
1169,6
1170,4
1171,1
1172,1
1173,5
1174,5
1175,5
1176,1
1177,3
1178,1
1179,0
1180,1
1181,4
1182,5
1183,1
1184,0
1185,5
1186,1
1187,0
1188,1
1189,4
1190,5
1191,5
1192,1
1193,6
1194,4
1195,1
1196,1
1197,0
1198,1
1199,4
1200,0
1201,2
1202,5
