Id,Predicted
0,5
1,1
2,0
3,11
4,3
5,2
6,11
7,8
8,1
9,5
10,3
11,9
12,8
13,0
14,3
15,5
16,11
17,9
18,10
19,3
20,2
21,9
22,3
23,9
24,8
25,10
26,3
27,7
28,7
29,1
30,10
31,9
32,9
33,7
34,5
35,1
36,7
37,5
38,5
39,11
40,3
41,5
42,11
43,8
44,11
45,0
46,3
47,2
48,0
49,3
50,11
51,10
52,9
53,9
54,9
55,4
56,4
57,1
58,11
59,9
60,11
61,11
62,9
63,7
64,5
65,0
66,3
67,9
68,3
69,0
70,1
71,4
72,11
73,5
74,6
75,3
76,5
77,3
78,11
79,8
80,8
81,3
82,0
83,11
84,7
85,0
86,5
87,0
88,1
89,9
90,4
91,3
92,6
93,11
94,6
95,11
96,3
97,11
98,8
99,11
100,3
101,3
102,1
103,5
104,11
105,9
106,9
107,9
108,11
109,9
110,2
111,9
112,11
113,1
114,2
115,9
116,9
117,9
118,9
119,0
120,3
121,10
122,3
123,11
124,9
125,3
126,7
127,9
128,3
129,9
130,1
131,11
132,11
133,0
134,3
135,1
136,11
137,9
138,9
139,11
140,1
141,6
142,6
143,9
144,9
145,5
146,11
147,6
148,5
149,9
150,1
151,6
152,1
153,11
154,3
155,0
156,9
157,5
158,11
159,11
160,0
161,1
162,8
163,9
164,11
165,6
166,0
167,8
168,5
169,3
170,11
171,1
172,10
173,5
174,0
175,3
176,2
177,9
178,3
179,8
180,6
181,9
182,2
183,9
184,1
185,9
186,5
187,6
188,6
189,3
190,9
191,3
192,9
193,10
194,1
195,3
196,5
197,5
198,9
199,4
200,3
201,10
202,11
203,2
204,1
205,4
206,7
207,5
208,0
209,1
210,2
211,11
212,5
213,11
214,3
215,3
216,8
217,4
218,4
219,9
220,1
221,9
222,5
223,11
224,4
225,9
226,8
227,6
228,7
229,0
230,7
231,2
232,3
233,9
234,5
235,3
236,7
237,4
238,1
239,2
240,9
241,2
242,7
243,3
244,3
245,11
246,5
247,0
248,9
249,7
250,3
251,8
252,4
253,9
254,0
255,4
256,0
257,7
258,9
259,5
260,3
261,1
262,1
263,1
264,3
265,3
266,11
267,11
268,7
269,8
270,6
271,1
272,9
273,11
274,7
275,11
276,5
277,11
278,6
279,4
280,9
281,9
282,9
283,1
284,3
285,1
286,10
287,0
288,8
289,9
290,4
291,7
292,6
293,11
294,8
295,7
296,3
297,4
298,8
299,5
300,1
301,9
302,8
303,1
304,3
305,5
306,5
307,1
308,9
309,3
310,8
311,9
312,1
313,6
314,10
315,1
316,3
317,11
318,8
319,8
320,1
321,9
322,0
323,3
324,1
325,3
326,9
327,0
328,9
329,7
330,5
331,5
332,3
333,9
334,0
335,8
336,4
337,0
338,3
339,1
340,3
341,0
342,1
343,8
344,8
345,1
346,9
347,3
348,9
349,3
350,0
351,10
352,5
353,3
354,7
355,11
356,5
357,4
358,10
359,9
360,5
361,9
362,9
363,0
364,1
365,6
366,11
367,10
368,8
369,7
370,1
371,5
372,0
373,8
374,10
375,0
376,3
377,3
378,5
379,0
380,5
381,2
382,1
383,9
384,8
385,1
386,11
387,5
388,1
389,9
390,9
391,8
392,9
393,8
394,9
395,1
396,5
397,3
398,11
399,1
400,10
401,9
402,7
403,3
404,4
405,4
406,0
407,9
408,5
409,9
410,1
411,2
412,6
413,9
414,9
415,5
416,0
417,3
418,11
419,11
420,4
421,0
422,1
423,8
424,0
425,2
426,1
427,11
428,0
429,0
430,11
431,7
432,1
433,8
434,7
435,9
436,2
437,11
438,5
439,8
440,6
441,2
442,9
443,3
444,7
445,3
446,3
447,1
448,1
449,3
450,7
451,2
452,5
453,11
454,2
455,9
456,5
457,3
458,9
459,10
460,11
461,3
462,4
463,1
464,5
465,11
466,7
467,9
468,1
469,1
470,1
471,11
472,3
473,5
474,11
475,9
476,1
477,0
478,5
479,0
480,0
481,6
482,1
483,11
484,10
485,3
486,3
487,0
488,0
489,1
490,9
491,1
492,3
493,1
494,11
495,5
496,9
497,0
498,9
499,7
500,9
501,9
502,2
503,0
504,3
505,10
506,9
507,1
508,5
509,5
510,5
511,3
512,7
513,0
514,0
515,10
516,8
517,7
518,5
519,10
520,7
521,3
522,3
523,4
524,3
525,5
526,11
527,2
528,4
529,11
530,1
531,4
532,6
533,9
534,8
535,0
536,0
537,11
538,9
539,1
540,1
541,1
542,3
543,9
544,7
545,6
546,11
547,8
548,9
549,3
550,3
551,0
552,3
553,4
554,9
555,0
556,7
557,1
558,3
559,10
560,1
561,8
562,0
563,3
564,6
565,1
566,7
567,2
568,9
569,11
570,0
571,3
572,7
573,11
574,0
575,9
576,8
577,3
578,9
579,5
580,3
581,3
582,3
583,8
584,5
585,5
586,9
587,5
588,10
589,1
590,10
591,3
592,11
593,1
594,2
595,5
596,0
597,9
598,9
599,0
600,3
601,9
602,3
603,0
604,7
605,11
606,5
607,3
608,9
609,1
610,6
611,5
612,8
613,5
614,5
615,7
616,11
617,11
618,9
619,4
620,3
621,8
622,11
623,9
624,11
625,9
626,1
627,0
628,8
629,1
630,1
631,1
632,5
633,4
634,0
635,5
636,6
637,7
638,10
639,0
640,9
641,11
642,9
643,3
644,11
645,1
646,10
647,5
648,9
649,8
650,11
651,9
652,5
653,9
654,9
655,10
656,3
657,3
658,11
659,4
660,1
661,0
662,1
663,11
664,0
665,5
666,4
667,11
668,11
669,0
670,3
671,9
672,11
673,3
674,0
675,10
676,1
677,7
678,1
679,3
680,0
681,9
682,7
683,1
684,1
685,5
686,10
687,8
688,1
689,1
690,3
691,6
692,3
693,1
694,3
695,0
696,11
697,1
698,0
699,3
700,1
701,4
702,11
703,11
704,0
705,2
706,1
707,3
708,4
709,8
710,11
711,11
712,1
713,6
714,11
715,7
716,2
717,5
718,9
719,0
720,9
721,9
722,9
723,7
724,3
725,3
726,0
727,9
728,7
729,10
730,1
731,1
732,6
733,5
734,3
735,1
736,11
737,1
738,3
739,10
740,11
741,1
742,1
743,5
744,6
745,1
746,1
747,1
748,8
749,6
750,7
751,8
752,5
753,6
754,11
755,3
756,0
757,3
758,9
759,4
760,7
761,9
762,5
763,7
764,1
765,0
766,9
767,2
768,7
769,5
770,1
771,1
772,0
773,5
774,6
775,7
776,9
777,6
778,3
779,11
780,7
781,8
782,0
783,7
784,7
785,1
786,1
787,10
788,7
789,0
790,11
791,9
792,1
793,11
794,1
795,0
796,7
797,6
798,1
799,9
800,3
801,3
802,9
803,3
804,7
805,11
806,5
807,1
808,9
809,0
810,9
811,5
812,3
813,1
814,7
815,0
816,9
817,0
818,3
819,4
820,8
821,9
822,11
823,9
824,3
825,3
826,4
827,8
828,9
829,11
830,3
831,9
832,11
833,3
834,3
835,5
836,3
837,7
838,5
839,0
840,1
841,3
842,0
843,5
844,1
845,3
846,9
847,0
848,9
849,0
850,11
851,7
852,6
853,9
854,11
855,1
856,1
857,0
858,8
859,2
860,1
861,0
862,10
863,11
864,11
865,11
866,10
867,9
868,0
869,3
870,5
871,0
872,0
873,7
874,7
875,9
876,0
877,5
878,5
879,3
880,8
881,9
882,11
883,1
884,3
885,7
886,7
887,4
888,9
889,1
890,9
891,7
892,6
893,5
894,7
895,3
896,3
897,7
898,9
899,7
900,3
901,0
902,1
903,0
904,3
905,6
906,3
907,8
908,9
909,0
910,11
911,1
912,8
913,11
914,1
915,11
916,9
917,3
918,4
919,7
920,8
921,9
922,7
923,5
924,5
925,9
926,2
927,9
928,1
929,0
930,11
931,1
932,9
933,4
934,1
935,9
936,9
937,7
938,3
939,7
940,9
941,5
942,0
943,11
944,9
945,5
946,8
947,3
948,11
949,1
950,9
951,11
952,0
953,5
