Id,Predicted
0,0
1,2
2,0
3,1
4,5
5,0
6,1
7,4
8,0
9,2
10,5
11,2
12,0
13,5
14,5
15,0
16,1
17,2
18,5
19,5
20,5
21,2
22,5
23,2
24,0
25,5
26,5
27,3
28,0
29,5
30,0
31,2
32,0
33,3
34,0
35,2
36,3
37,0
38,2
39,1
40,4
41,0
42,1
43,0
44,1
45,4
46,4
47,0
48,5
49,5
50,1
51,4
52,0
53,2
54,0
55,3
56,0
57,3
58,1
59,2
60,1
61,1
62,2
63,3
64,0
65,4
66,0
67,2
68,5
69,0
70,3
71,0
72,1
73,0
74,5
75,5
76,0
77,5
78,1
79,4
80,0
81,5
82,5
83,1
84,4
85,4
86,0
87,5
88,2
89,0
90,3
91,5
92,5
93,1
94,5
95,1
96,5
97,1
98,0
99,1
100,5
101,5
102,2
103,0
104,1
105,4
106,0
107,2
108,1
109,2
110,5
111,2
112,5
113,2
114,5
115,2
116,0
117,2
118,0
119,3
120,0
121,5
122,5
123,1
124,2
125,0
126,3
127,2
128,5
129,0
130,2
131,1
132,1
133,4
134,4
135,4
136,1
137,0
138,2
139,1
140,4
141,4
142,4
143,0
144,2
145,0
146,1
147,4
148,0
149,5
150,5
151,5
152,0
153,5
154,5
155,5
156,2
157,0
158,1
159,1
160,4
161,4
162,0
163,2
164,4
165,4
166,4
167,0
168,3
169,5
170,1
171,4
172,4
173,0
174,5
175,5
176,5
177,2
178,5
179,0
180,5
181,2
182,5
183,2
184,5
185,0
186,2
187,5
188,5
189,5
190,2
191,5
192,2
193,1
194,4
195,4
196,0
197,3
198,2
199,0
200,5
201,3
202,1
203,5
204,2
205,0
206,3
207,2
208,0
209,5
210,5
211,4
212,0
213,1
214,5
215,5
216,2
217,0
218,3
219,2
220,0
221,2
222,0
223,1
224,2
225,1
226,0
227,5
228,3
229,0
230,3
231,0
232,5
233,2
234,0
235,5
236,3
237,0
238,2
239,5
240,2
241,5
242,3
243,5
244,5
245,1
246,2
247,4
248,0
249,3
250,5
251,0
252,3
253,2
254,4
255,0
256,4
257,0
258,2
259,0
260,5
261,0
262,5
263,5
264,5
265,5
266,1
267,1
268,4
269,0
270,5
271,5
272,2
273,5
274,3
275,1
276,0
277,1
278,5
279,0
280,2
281,0
282,2
283,0
284,5
285,2
286,1
287,4
288,0
289,2
290,4
291,0
292,5
293,1
294,0
295,3
296,5
297,3
298,2
299,0
300,1
301,2
302,0
303,5
304,5
305,3
306,0
307,3
308,2
309,0
310,2
311,0
312,2
313,4
314,4
315,4
316,0
317,1
318,4
319,0
320,5
321,2
322,0
323,5
324,0
325,5
326,2
327,4
328,0
329,3
330,0
331,3
332,5
333,0
334,4
335,0
336,3
337,5
338,5
339,5
340,5
341,0
342,2
343,0
344,2
345,0
346,2
347,5
348,2
349,4
350,4
351,4
352,0
353,5
354,3
355,1
356,0
357,3
358,0
359,2
360,0
361,2
362,4
363,4
364,4
365,1
366,1
367,4
368,0
369,3
370,2
371,0
372,5
373,0
374,4
375,0
376,5
377,5
378,0
379,2
380,0
381,5
382,5
383,2
384,0
385,2
386,1
387,0
388,2
389,0
390,2
391,0
392,2
393,0
394,2
395,5
396,2
397,5
398,1
399,1
400,1
401,2
402,3
403,5
404,0
405,3
406,0
407,2
408,0
409,3
410,2
411,0
412,5
413,0
414,2
415,0
416,5
417,5
418,1
419,1
420,3
421,1
422,4
423,0
424,4
425,4
426,4
427,1
428,4
429,4
430,0
431,3
432,2
433,0
434,3
435,2
436,5
437,1
438,0
439,4
440,4
441,4
442,0
443,5
444,3
445,0
446,5
447,5
448,5
449,5
450,0
451,5
452,0
453,1
454,5
455,2
456,0
457,5
458,2
459,5
460,1
461,4
462,0
463,3
464,0
465,1
466,4
467,0
468,3
469,2
470,5
471,1
472,5
473,0
474,1
475,0
476,2
477,4
478,0
479,4
480,4
481,4
482,4
483,1
484,1
485,5
486,5
487,1
488,5
489,5
490,2
491,5
492,5
493,5
494,1
495,0
496,2
497,4
498,0
499,3
500,0
501,2
502,5
503,5
504,5
505,1
506,2
507,4
508,0
509,5
510,0
511,5
512,0
513,4
514,4
515,4
516,0
517,3
518,2
519,0
520,3
521,5
522,5
523,0
524,5
525,0
526,5
527,5
528,3
529,1
530,0
531,2
532,5
533,2
534,0
535,5
536,1
537,1
538,0
539,2
540,5
541,5
542,5
543,2
544,3
545,0
546,5
547,0
548,2
549,5
550,5
551,5
552,5
553,3
554,2
555,0
556,3
557,0
558,5
559,5
560,0
561,3
562,0
563,5
564,5
565,0
566,3
567,5
568,0
569,1
570,0
571,5
572,3
573,1
574,0
575,2
576,0
577,5
578,2
579,0
580,5
581,0
582,3
583,0
584,3
585,0
586,2
587,0
588,4
589,0
590,5
591,5
592,1
593,2
594,5
595,0
596,5
597,2
598,0
599,5
600,5
601,2
602,4
603,4
604,0
605,1
606,2
607,5
608,2
609,0
610,5
611,0
612,2
613,0
614,3
615,0
616,1
617,1
618,2
619,0
620,5
621,0
622,1
623,2
624,1
625,2
626,5
627,5
628,0
629,4
630,4
631,4
632,0
633,3
634,5
635,0
636,5
637,2
638,4
639,4
640,0
641,1
642,2
643,5
644,1
645,4
646,4
647,0
648,2
649,0
650,1
651,2
652,0
653,2
654,0
655,5
656,5
657,5
658,5
659,0
660,4
661,4
662,4
663,1
664,4
665,0
666,3
667,1
668,1
669,4
670,4
671,4
672,1
673,4
674,4
675,4
676,0
677,3
678,2
679,5
680,0
681,2
682,3
683,0
684,2
685,0
686,3
687,2
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,1
697,5
698,5
699,5
700,0
701,3
702,1
703,1
704,4
705,4
706,4
707,4
708,4
709,0
710,1
711,1
712,2
713,5
714,1
715,4
716,4
717,0
718,2
719,4
720,0
721,3
722,2
723,3
724,0
725,5
726,4
727,0
728,3
729,0
730,5
731,1
732,5
733,0
734,5
735,3
736,1
737,2
738,5
739,1
740,1
741,0
742,2
743,0
744,5
745,0
746,2
747,4
748,0
749,5
750,3
751,0
752,2
753,5
754,5
755,5
756,4
757,4
758,4
759,0
760,3
761,2
762,0
763,2
764,4
765,4
766,1
767,5
768,3
769,0
770,2
771,4
772,4
773,0
774,5
775,3
776,2
777,5
778,5
779,1
780,3
781,0
782,5
783,0
784,3
785,0
786,3
787,0
788,3
789,0
790,1
791,2
792,0
793,1
794,4
795,4
796,0
797,5
798,0
799,2
800,5
801,5
802,2
803,5
804,3
805,1
806,0
807,5
808,2
809,4
810,4
811,0
812,5
813,3
814,0
815,3
816,0
817,5
818,5
819,2
820,0
821,2
822,1
823,2
824,5
825,5
826,3
827,0
828,2
829,1
830,5
831,2
832,0
833,5
834,5
835,0
836,5
837,3
838,0
839,5
840,5
841,0
842,4
843,0
844,5
845,5
846,2
847,4
848,0
849,5
850,1
851,3
852,5
853,2
854,1
855,5
856,2
857,4
858,0
859,5
860,5
861,0
862,1
863,1
864,1
865,1
866,4
867,0
868,1
869,4
870,0
871,5
872,0
873,3
874,0
875,2
876,0
877,2
878,0
879,5
880,0
881,3
882,1
883,2
884,5
885,0
886,3
887,0
888,2
889,0
890,2
891,0
892,5
893,0
894,3
895,5
896,5
897,3
898,0
899,3
900,0
901,5
902,2
903,4
904,4
905,4
906,4
907,0
908,1
909,1
910,1
911,4
912,0
913,1
914,4
915,1
916,2
917,5
918,0
919,3
920,0
921,2
922,3
923,0
924,2
925,0
926,5
927,3
928,0
929,4
930,1
931,4
932,0
933,3
934,5
935,2
936,0
937,3
938,0
939,3
940,2
941,0
942,5
943,1
944,2
945,0
946,5
947,5
948,1
949,2
950,0
951,1
952,4
953,0
954,3
955,1
956,2
957,0
958,3
959,0
960,3
961,0
962,2
963,0
964,2
965,4
966,0
967,2
968,0
969,3
970,5
971,5
972,0
973,5
974,5
975,0
976,1
977,4
978,4
979,1
980,4
981,4
982,1
983,4
984,1
985,0
986,3
987,0
988,3
989,5
990,0
991,3
992,0
993,2
994,1
995,2
996,3
997,0
998,3
999,2
1000,4
1001,4
1002,0
1003,5
1004,5
1005,3
1006,5
1007,2
1008,5
1009,5
1010,0
1011,3
1012,2
1013,3
1014,0
1015,2
1016,1
1017,4
1018,0
1019,5
1020,5
1021,3
1022,0
1023,5
1024,5
1025,5
1026,5
1027,0
1028,5
1029,5
1030,1
1031,2
1032,0
1033,5
1034,1
1035,2
1036,0
1037,1
1038,4
1039,1
1040,2
1041,0
1042,1
1043,5
1044,2
1045,5
1046,5
1047,5
1048,5
1049,1
1050,5
1051,3
1052,2
1053,0
1054,5
1055,2
1056,0
1057,2
1058,0
1059,4
1060,0
1061,3
1062,2
1063,5
1064,5
1065,2
1066,5
1067,5
1068,5
1069,5
1070,3
1071,0
1072,3
1073,0
1074,2
1075,1
1076,1
1077,4
1078,0
1079,1
1080,2
1081,1
1082,2
1083,5
1084,5
1085,5
1086,0
1087,5
1088,1
1089,2
1090,4
1091,0
1092,5
1093,5
1094,5
1095,2
1096,0
1097,5
1098,5
1099,2
1100,5
1101,3
1102,0
1103,2
1104,3
1105,1
1106,2
1107,0
1108,5
1109,3
1110,0
1111,5
1112,5
1113,2
1114,0
1115,1
1116,0
1117,5
1118,2
1119,3
1120,5
1121,1
1122,0
1123,5
1124,5
1125,3
1126,0
1127,5
1128,1
1129,4
1130,4
1131,1
1132,5
1133,1
1134,4
1135,0
1136,2
1137,4
1138,4
1139,0
1140,3
1141,0
1142,3
1143,5
1144,0
1145,4
1146,0
1147,4
1148,0
1149,5
1150,5
1151,5
1152,1
1153,4
1154,4
1155,0
1156,3
1157,0
1158,3
1159,0
1160,5
1161,2
1162,5
1163,5
1164,2
1165,0
1166,1
1167,0
1168,2
1169,0
1170,1
1171,0
1172,2
1173,5
1174,5
1175,5
1176,2
1177,0
1178,3
1179,0
1180,2
1181,1
1182,5
1183,0
1184,3
1185,5
1186,2
1187,5
1188,2
1189,5
1190,5
1191,0
1192,2
1193,0
1194,1
1195,0
1196,2
1197,5
1198,2
1199,1
1200,4
1201,0
1202,5
1203,0
1204,1
1205,0
1206,5
1207,3
1208,0
1209,5
1210,2
1211,0
1212,4
1213,4
1214,0
1215,3
1216,2
1217,4
1218,4
1219,0
1220,5
1221,3
1222,0
1223,2
1224,5
1225,0
1226,4
1227,1
1228,2
1229,0
1230,3
1231,1
1232,4
1233,0
