Number of Clusters,AIC,BIC,Silhouette Score,Inertia
2,7920924.174393859,7929742.913835718,0.040499974473681415,2726496.0333608366
3,7908525.151922852,7921758.007447019,0.03457441134820185,2660093.7899071975
4,7894655.283432187,7912302.255038663,0.035339849560737276,2598918.045987714
5,7867186.332808385,7889247.42049717,0.034473861839091964,2557066.442246165
6,7846544.7041589925,7873019.907930086,0.033437971562572,2523772.143785178
7,7837629.683539813,7868519.003393215,0.031930227253270944,2499193.857478682
8,7831412.4009655425,7866715.836901253,0.03148953633761675,2477462.5219838666
9,7828653.602772107,7868371.154790127,0.03063535776611253,2458315.7146737613
10,7824993.894429956,7869125.562530283,0.03074658212800388,2440731.872130301
11,7819348.660065196,7867894.4442478325,0.030321612355006092,2423757.6195577797
12,7785611.137300294,7838571.037565239,0.03009915713922974,2411506.686342196
13,7798342.644763898,7855716.661111151,0.029757181370410543,2398140.547414507
14,7807138.346049074,7868926.478478636,0.029067388009517192,2387831.770272498
15,7794880.300732729,7861082.549244599,0.028973162418095673,2377246.9207247193
